epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7121,1.57505,2.15989,1.49417,0.53348,0.44101,0.43819,0.21128,1.66442,2.17399,1.61811,0.000554852,0.000554852,0.000554852
2,183.322,1.70584,2.06444,1.60948,0.52845,0.44889,0.47279,0.22751,1.73241,1.94075,1.63288,0.00105555,0.00105555,0.00105555
3,274.168,1.69741,1.99681,1.61003,0.56695,0.39468,0.44142,0.21999,1.75291,2.08125,1.66263,0.00150123,0.00150123,0.00150123
4,366.087,1.65328,1.94297,1.57943,0.56973,0.4289,0.47564,0.24285,1.67414,1.89585,1.59673,0.00141945,0.00141945,0.00141945
5,455.602,1.61742,1.86657,1.55124,0.66197,0.57716,0.59732,0.33956,1.52248,1.53072,1.49413,0.00133693,0.00133693,0.00133693
6,545.047,1.58505,1.74947,1.52404,0.64432,0.5776,0.62354,0.34167,1.5722,1.61873,1.51956,0.00125442,0.00125442,0.00125442
7,636.586,1.52825,1.65485,1.49821,0.7143,0.60771,0.65805,0.36541,1.51072,1.37549,1.46578,0.0011719,0.0011719,0.0011719
8,725.997,1.50526,1.61421,1.47712,0.7016,0.61939,0.66584,0.39204,1.44395,1.30843,1.41619,0.00108938,0.00108938,0.00108938
9,816.512,1.4675,1.55747,1.45784,0.71359,0.62534,0.65435,0.38204,1.45416,1.31062,1.41556,0.00100687,0.00100687,0.00100687
10,907.704,1.44636,1.51606,1.45202,0.72373,0.66477,0.69975,0.41852,1.41701,1.23458,1.37946,0.000924352,0.000924352,0.000924352
11,1002.41,1.3521,1.28785,1.3748,0.75798,0.66077,0.70149,0.41226,1.40912,1.26593,1.37192,0.000841835,0.000841835,0.000841835
12,1097.07,1.30698,1.19324,1.33844,0.71523,0.65376,0.68293,0.40635,1.40589,1.20308,1.37855,0.000759318,0.000759318,0.000759318
13,1191.13,1.25961,1.11144,1.30693,0.77379,0.66284,0.71557,0.43266,1.38725,1.10267,1.35608,0.000676802,0.000676802,0.000676802
14,1288.14,1.24764,1.03896,1.28652,0.75234,0.68536,0.72593,0.43348,1.3853,1.11605,1.35326,0.000594286,0.000594286,0.000594286
15,1381.71,1.20976,0.9889,1.2682,0.77466,0.68736,0.73014,0.45001,1.35015,1.0601,1.33331,0.000511769,0.000511769,0.000511769
16,1473.82,1.1638,0.94405,1.24323,0.80514,0.67307,0.73195,0.45763,1.33767,1.02037,1.31896,0.000429253,0.000429253,0.000429253
17,1566.34,1.13402,0.89569,1.22747,0.80808,0.6958,0.74643,0.47349,1.28815,0.98876,1.30496,0.000346736,0.000346736,0.000346736
18,1659.17,1.09442,0.85375,1.20114,0.82551,0.70386,0.76211,0.47889,1.29439,0.95724,1.30296,0.00026422,0.00026422,0.00026422
19,1751.86,1.07048,0.81516,1.18509,0.80977,0.71021,0.76039,0.49081,1.27133,0.9302,1.27838,0.000181703,0.000181703,0.000181703
20,1845.34,1.04317,0.79696,1.17075,0.84097,0.69365,0.76281,0.49379,1.27577,0.91543,1.27607,9.91865e-05,9.91865e-05,9.91865e-05
